Year,Season,NOC,Total_Medals,Gold,Silver,Bronze,Men_Medals,Women_Medals,Is_Host
1984,Summer,UAE,0,0,0,0,0.0,0.0,0
1984,Summer,BEN,0,0,0,0,0.0,0.0,0
1984,Summer,IRQ,0,0,0,0,0.0,0.0,0
1984,Summer,IND,0,0,0,0,0.0,0.0,0
1984,Summer,CRC,0,0,0,0,0.0,0.0,0
1984,Summer,KUW,0,0,0,0,0.0,0.0,0
1984,Summer,UGA,0,0,0,0,0.0,0.0,0
1984,Summer,ECU,0,0,0,0,0.0,0.0,0
1984,Summer,GHA,0,0,0,0,0.0,0.0,0
1984,Summer,SOM,0,0,0,0,0.0,0.0,0
1984,Summer,MON,0,0,0,0,0.0,0.0,0
1984,Summer,INA,0,0,0,0,0.0,0.0,0
1984,Summer,MLT,0,0,0,0,0.0,0.0,0
1984,Summer,LUX,0,0,0,0,0.0,0.0,0
1984,Summer,CYP,0,0,0,0,0.0,0.0,0
1984,Summer,ARG,0,0,0,0,0.0,0.0,0
1984,Summer,PAN,0,0,0,0,0.0,0.0,0
1984,Summer,QAT,0,0,0,0,0.0,0.0,0
1984,Summer,SUD,0,0,0,0,0.0,0.0,0
1984,Summer,OMA,0,0,0,0,0.0,0.0,0
1984,Summer,YAR,0,0,0,0,0.0,0.0,0
1984,Summer,NIG,0,0,0,0,0.0,0.0,0
1984,Summer,GUA,0,0,0,0,0.0,0.0,0
1984,Summer,TUN,0,0,0,0,0.0,0.0,0
1984,Summer,CAF,0,0,0,0,0.0,0.0,0
1984,Summer,ISR,0,0,0,0,0.0,0.0,0
1984,Summer,TAN,0,0,0,0,0.0,0.0,0
1984,Summer,MRI,0,0,0,0,0.0,0.0,0
1984,Summer,SGP,0,0,0,0,0.0,0.0,0
1984,Summer,TTO,0,0,0,0,0.0,0.0,0
1984,Summer,LIB,0,0,0,0,0.0,0.0,0
1984,Summer,BOL,0,0,0,0,0.0,0.0,0
1984,Summer,FIJ,0,0,0,0,0.0,0.0,0
1984,Summer,PHI,0,0,0,0,0.0,0.0,0
1984,Summer,SOL,0,0,0,0,0.0,0.0,0
1984,Summer,SAM,0,0,0,0,0.0,0.0,0
1984,Summer,HON,0,0,0,0,0.0,0.0,0
1984,Summer,MAW,0,0,0,0,0.0,0.0,0
1984,Summer,SEN,0,0,0,0,0.0,0.0,0
1984,Summer,COD,0,0,0,0,0.0,0.0,0
1984,Summer,BOT,0,0,0,0,0.0,0.0,0
1984,Summer,IVB,0,0,0,0,0.0,0.0,0
1984,Summer,GUY,0,0,0,0,0.0,0.0,0
1984,Summer,GRN,0,0,0,0,0.0,0.0,0
1984,Summer,BAR,0,0,0,0,0.0,0.0,0
1984,Summer,AHO,0,0,0,0,0.0,0.0,0
1984,Summer,CGO,0,0,0,0,0.0,0.0,0
1984,Summer,SLE,0,0,0,0,0.0,0.0,0
1984,Summer,ANT,0,0,0,0,0.0,0.0,0
1984,Summer,PAR,0,0,0,0,0.0,0.0,0
1984,Summer,ISV,0,0,0,0,0.0,0.0,0
1984,Summer,MAD,0,0,0,0,0.0,0.0,0
1984,Summer,CAY,0,0,0,0,0.0,0.0,0
1984,Summer,TOG,0,0,0,0,0.0,0.0,0
1984,Summer,SRI,0,0,0,0,0.0,0.0,0
1984,Summer,SMR,0,0,0,0,0.0,0.0,0
1984,Summer,SEY,0,0,0,0,0.0,0.0,0
1984,Summer,GEQ,0,0,0,0,0.0,0.0,0
1984,Summer,PNG,0,0,0,0,0.0,0.0,0
1984,Summer,LIE,0,0,0,0,0.0,0.0,0
1984,Summer,BER,0,0,0,0,0.0,0.0,0
1984,Summer,RWA,0,0,0,0,0.0,0.0,0
1984,Summer,ESA,0,0,0,0,0.0,0.0,0
1984,Summer,GAM,0,0,0,0,0.0,0.0,0
1984,Summer,NCA,0,0,0,0,0.0,0.0,0
1984,Summer,DJI,0,0,0,0,0.0,0.0,0
1984,Summer,BIZ,0,0,0,0,0.0,0.0,0
1984,Summer,HKG,0,0,0,0,0.0,0.0,0
1984,Summer,BHU,0,0,0,0,0.0,0.0,0
1984,Summer,ZIM,0,0,0,0,0.0,0.0,0
1984,Summer,MOZ,0,0,0,0,0.0,0.0,0
1984,Summer,BAH,0,0,0,0,0.0,0.0,0
1984,Summer,SUR,0,0,0,0,0.0,0.0,0
1984,Summer,LBR,0,0,0,0,0.0,0.0,0
1984,Summer,BAN,0,0,0,0,0.0,0.0,0
1984,Summer,GUI,0,0,0,0,0.0,0.0,0
1984,Summer,MTN,0,0,0,0,0.0,0.0,0
1984,Summer,MLI,0,0,0,0,0.0,0.0,0
1984,Summer,CHA,0,0,0,0,0.0,0.0,0
1984,Summer,SWZ,0,0,0,0,0.0,0.0,0
1984,Summer,URU,0,0,0,0,0.0,0.0,0
1984,Summer,HAI,0,0,0,0,0.0,0.0,0
1984,Summer,AND,0,0,0,0,0.0,0.0,0
1984,Summer,NEP,0,0,0,0,0.0,0.0,0
1984,Summer,TGA,0,0,0,0,0.0,0.0,0
1984,Summer,MYA,0,0,0,0,0.0,0.0,0
1984,Summer,GAB,0,0,0,0,0.0,0.0,0
1984,Summer,LES,0,0,0,0,0.0,0.0,0
1984,Winter,URS,25,6,10,9,16.0,9.0,0
1984,Winter,GDR,24,9,9,6,11.0,13.0,0
1984,Winter,FIN,13,4,3,6,9.0,4.0,0
1984,Winter,NOR,9,3,2,4,5.0,4.0,0
1984,Winter,SWE,8,4,2,2,8.0,0.0,0
1984,Winter,USA,8,4,4,0,4.0,4.0,0
1984,Winter,TCH,6,0,2,4,3.0,3.0,0
1984,Winter,SUI,5,2,2,1,3.0,2.0,0
1984,Winter,FRG,4,2,1,1,4.0,0.0,0
1984,Winter,CAN,4,2,1,1,4.0,0.0,0
1984,Winter,FRA,3,0,1,2,1.0,2.0,0
1984,Winter,ITA,2,2,0,0,1.0,1.0,0
1984,Winter,LIE,2,0,0,2,1.0,1.0,0
1984,Winter,YUG,1,0,1,0,1.0,0.0,1
1984,Winter,GBR,1,1,0,0,1.0,0.0,0
1984,Winter,JPN,1,0,1,0,1.0,0.0,0
1984,Winter,AUT,1,0,0,1,1.0,0.0,0
1984,Winter,POL,0,0,0,0,0.0,0.0,0
1984,Winter,MAR,0,0,0,0,0.0,0.0,0
1984,Winter,AUS,0,0,0,0,0.0,0.0,0
1984,Winter,ARG,0,0,0,0,0.0,0.0,0
1984,Winter,ROU,0,0,0,0,0.0,0.0,0
1984,Winter,CYP,0,0,0,0,0.0,0.0,0
1984,Winter,GRE,0,0,0,0,0.0,0.0,0
1984,Winter,ISL,0,0,0,0,0.0,0.0,0
1984,Winter,BUL,0,0,0,0,0.0,0.0,0
1984,Winter,LIB,0,0,0,0,0.0,0.0,0
1984,Winter,KOR,0,0,0,0,0.0,0.0,0
1984,Winter,CHN,0,0,0,0,0.0,0.0,0
1984,Winter,BOL,0,0,0,0,0.0,0.0,0
1984,Winter,TUR,0,0,0,0,0.0,0.0,0
1984,Winter,SMR,0,0,0,0,0.0,0.0,0
1984,Winter,NED,0,0,0,0,0.0,0.0,0
1984,Winter,CRC,0,0,0,0,0.0,0.0,0
1984,Winter,TPE,0,0,0,0,0.0,0.0,0
1984,Winter,BEL,0,0,0,0,0.0,0.0,0
1984,Winter,MGL,0,0,0,0,0.0,0.0,0
1984,Winter,EGY,0,0,0,0,0.0,0.0,0
1984,Winter,HUN,0,0,0,0,0.0,0.0,0
1984,Winter,ESP,0,0,0,0,0.0,0.0,0
1984,Winter,CHI,0,0,0,0,0.0,0.0,0
1984,Winter,IVB,0,0,0,0,0.0,0.0,0
1984,Winter,NZL,0,0,0,0,0.0,0.0,0
1984,Winter,SEN,0,0,0,0,0.0,0.0,0
1984,Winter,PRK,0,0,0,0,0.0,0.0,0
1984,Winter,MON,0,0,0,0,0.0,0.0,0
1984,Winter,AND,0,0,0,0,0.0,0.0,0
1984,Winter,PUR,0,0,0,0,0.0,0.0,0
1984,Winter,MEX,0,0,0,0,0.0,0.0,0
1988,Summer,URS,131,54,31,46,95.0,36.0,0
1988,Summer,GDR,102,37,35,30,51.0,51.0,0
1988,Summer,USA,94,36,31,27,65.0,29.0,0
1988,Summer,FRG,40,11,14,15,29.0,11.0,0
1988,Summer,BUL,35,10,12,13,19.0,16.0,0
1988,Summer,KOR,33,12,10,11,26.0,7.0,1
1988,Summer,CHN,28,5,11,12,13.0,15.0,0
1988,Summer,GBR,24,5,10,9,19.0,5.0,0
1988,Summer,ROU,24,7,11,6,7.0,17.0,0
1988,Summer,HUN,23,11,6,6,19.0,4.0,0
1988,Summer,FRA,16,6,4,6,14.0,2.0,0
1988,Summer,POL,16,2,5,9,15.0,1.0,0
1988,Summer,ITA,14,6,4,4,13.0,1.0,0
1988,Summer,JPN,14,4,3,7,11.0,3.0,0
1988,Summer,AUS,14,3,6,5,9.0,5.0,0
1988,Summer,NZL,13,3,2,8,12.0,1.0,0
1988,Summer,YUG,12,3,4,5,8.0,4.0,0
1988,Summer,SWE,11,0,4,7,10.0,1.0,0
1988,Summer,CAN,10,3,2,5,6.0,4.0,0
1988,Summer,NED,9,2,2,5,5.0,4.0,0
1988,Summer,KEN,9,5,2,2,9.0,0.0,0
1988,Summer,TCH,8,3,3,2,7.0,1.0,0
1988,Summer,BRA,6,1,2,3,6.0,0.0,0
1988,Summer,NOR,5,2,3,0,4.0,1.0,0
1988,Summer,ESP,4,1,1,2,4.0,0.0,0
1988,Summer,SUI,4,0,2,2,3.0,1.0,0
1988,Summer,FIN,4,1,1,2,4.0,0.0,0
1988,Summer,DEN,4,2,1,1,4.0,0.0,0
1988,Summer,MAR,3,1,0,2,3.0,0.0,0
1988,Summer,MEX,2,0,0,2,2.0,0.0,0
1988,Summer,JAM,2,0,2,0,1.0,1.0,0
1988,Summer,ARG,2,0,1,1,1.0,1.0,0
1988,Summer,TUR,2,1,1,0,2.0,0.0,0
1988,Summer,BEL,2,0,0,2,2.0,0.0,0
1988,Summer,DJI,1,0,0,1,1.0,0.0,0
1988,Summer,POR,1,1,0,0,0.0,1.0,0
1988,Summer,PHI,1,0,0,1,1.0,0.0,0
1988,Summer,INA,1,0,1,0,0.0,1.0,0
1988,Summer,IRI,1,0,1,0,1.0,0.0,0
1988,Summer,PAK,1,0,0,1,1.0,0.0,0
1988,Summer,CRC,1,0,1,0,0.0,1.0,0
1988,Summer,CHI,1,0,1,0,1.0,0.0,0
1988,Summer,COL,1,0,0,1,1.0,0.0,0
1988,Summer,GRE,1,0,0,1,1.0,0.0,0
1988,Summer,PER,1,0,1,0,0.0,1.0,0
1988,Summer,AUT,1,1,0,0,1.0,0.0,0
1988,Summer,SUR,1,1,0,0,1.0,0.0,0
1988,Summer,SEN,1,0,1,0,1.0,0.0,0
1988,Summer,MGL,1,0,0,1,1.0,0.0,0
1988,Summer,ISV,1,0,1,0,1.0,0.0,0
1988,Summer,AHO,1,0,1,0,1.0,0.0,0
1988,Summer,THA,1,0,0,1,1.0,0.0,0
1988,Summer,LIB,0,0,0,0,0.0,0.0,0
1988,Summer,EGY,0,0,0,0,0.0,0.0,0
1988,Summer,ALG,0,0,0,0,0.0,0.0,0
1988,Summer,MDV,0,0,0,0,0.0,0.0,0
1988,Summer,YAR,0,0,0,0,0.0,0.0,0
1988,Summer,UAE,0,0,0,0,0.0,0.0,0
1988,Summer,NGR,0,0,0,0,0.0,0.0,0
1988,Summer,KUW,0,0,0,0,0.0,0.0,0
1988,Summer,TUN,0,0,0,0,0.0,0.0,0
1988,Summer,IRQ,0,0,0,0,0.0,0.0,0
1988,Summer,NIG,0,0,0,0,0.0,0.0,0
1988,Summer,LBA,0,0,0,0,0.0,0.0,0
1988,Summer,IND,0,0,0,0,0.0,0.0,0
1988,Summer,GUY,0,0,0,0,0.0,0.0,0
1988,Summer,JOR,0,0,0,0,0.0,0.0,0
1988,Summer,URU,0,0,0,0,0.0,0.0,0
1988,Summer,CMR,0,0,0,0,0.0,0.0,0
1988,Summer,UGA,0,0,0,0,0.0,0.0,0
1988,Summer,MTN,0,0,0,0,0.0,0.0,0
1988,Summer,VIN,0,0,0,0,0.0,0.0,0
1988,Summer,PUR,0,0,0,0,0.0,0.0,0
1988,Summer,SOM,0,0,0,0,0.0,0.0,0
1988,Summer,GHA,0,0,0,0,0.0,0.0,0
1988,Summer,HAI,0,0,0,0,0.0,0.0,0
1988,Summer,MLT,0,0,0,0,0.0,0.0,0
1988,Summer,TOG,0,0,0,0,0.0,0.0,0
1988,Summer,YMD,0,0,0,0,0.0,0.0,0
1988,Summer,TAN,0,0,0,0,0.0,0.0,0
1988,Summer,KSA,0,0,0,0,0.0,0.0,0
1988,Summer,SYR,0,0,0,0,0.0,0.0,0
1988,Summer,OMA,0,0,0,0,0.0,0.0,0
1988,Summer,BRN,0,0,0,0,0.0,0.0,0
1988,Summer,QAT,0,0,0,0,0.0,0.0,0
1988,Summer,BAN,0,0,0,0,0.0,0.0,0
1988,Summer,BEN,0,0,0,0,0.0,0.0,0
1988,Summer,DOM,0,0,0,0,0.0,0.0,0
1988,Summer,BER,0,0,0,0,0.0,0.0,0
1988,Summer,SAM,0,0,0,0,0.0,0.0,0
1988,Summer,MAS,0,0,0,0,0.0,0.0,0
1988,Summer,CAF,0,0,0,0,0.0,0.0,0
1988,Summer,ISR,0,0,0,0,0.0,0.0,0
1988,Summer,COD,0,0,0,0,0.0,0.0,0
1988,Summer,GUM,0,0,0,0,0.0,0.0,0
1988,Summer,SGP,0,0,0,0,0.0,0.0,0
1988,Summer,HON,0,0,0,0,0.0,0.0,0
1988,Summer,SUD,0,0,0,0,0.0,0.0,0
1988,Summer,GUA,0,0,0,0,0.0,0.0,0
1988,Summer,ISL,0,0,0,0,0.0,0.0,0
1988,Summer,MOZ,0,0,0,0,0.0,0.0,0
1988,Summer,LUX,0,0,0,0,0.0,0.0,0
1988,Summer,IVB,0,0,0,0,0.0,0.0,0
1988,Summer,FIJ,0,0,0,0,0.0,0.0,0
1988,Summer,BAR,0,0,0,0,0.0,0.0,0
1988,Summer,HKG,0,0,0,0,0.0,0.0,0
1988,Summer,PNG,0,0,0,0,0.0,0.0,0
1988,Summer,ESA,0,0,0,0,0.0,0.0,0
1988,Summer,CYP,0,0,0,0,0.0,0.0,0
1988,Summer,CIV,0,0,0,0,0.0,0.0,0
1988,Summer,MAW,0,0,0,0,0.0,0.0,0
1988,Summer,GUI,0,0,0,0,0.0,0.0,0
1988,Summer,CAY,0,0,0,0,0.0,0.0,0
1988,Summer,ZIM,0,0,0,0,0.0,0.0,0
1988,Summer,ANG,0,0,0,0,0.0,0.0,0
1988,Summer,NEP,0,0,0,0,0.0,0.0,0
1988,Summer,LIE,0,0,0,0,0.0,0.0,0
1988,Summer,MON,0,0,0,0,0.0,0.0,0
1988,Summer,SOL,0,0,0,0,0.0,0.0,0
1988,Summer,BOL,0,0,0,0,0.0,0.0,0
1988,Summer,BIZ,0,0,0,0,0.0,0.0,0
1988,Summer,CGO,0,0,0,0,0.0,0.0,0
1988,Summer,SMR,0,0,0,0,0.0,0.0,0
1988,Summer,LBR,0,0,0,0,0.0,0.0,0
1988,Summer,PAR,0,0,0,0,0.0,0.0,0
1988,Summer,VEN,0,0,0,0,0.0,0.0,0
1988,Summer,SRI,0,0,0,0,0.0,0.0,0
1988,Summer,GEQ,0,0,0,0,0.0,0.0,0
1988,Summer,GAB,0,0,0,0,0.0,0.0,0
1988,Summer,ANT,0,0,0,0,0.0,0.0,0
1988,Summer,IRL,0,0,0,0,0.0,0.0,0
1988,Summer,ZAM,0,0,0,0,0.0,0.0,0
1988,Summer,MLI,0,0,0,0,0.0,0.0,0
1988,Summer,ECU,0,0,0,0,0.0,0.0,0
1988,Summer,TPE,0,0,0,0,0.0,0.0,0
1988,Summer,TTO,0,0,0,0,0.0,0.0,0
1988,Summer,MRI,0,0,0,0,0.0,0.0,0
1988,Summer,GRN,0,0,0,0,0.0,0.0,0
1988,Summer,BAH,0,0,0,0,0.0,0.0,0
1988,Summer,AFG,0,0,0,0,0.0,0.0,0
1988,Summer,GAM,0,0,0,0,0.0,0.0,0
1988,Summer,VAN,0,0,0,0,0.0,0.0,0
1988,Summer,VIE,0,0,0,0,0.0,0.0,0
1988,Summer,PAN,0,0,0,0,0.0,0.0,0
1988,Summer,SWZ,0,0,0,0,0.0,0.0,0
1988,Summer,SLE,0,0,0,0,0.0,0.0,0
1988,Summer,BHU,0,0,0,0,0.0,0.0,0
1988,Summer,RWA,0,0,0,0,0.0,0.0,0
1988,Summer,ASA,0,0,0,0,0.0,0.0,0
1988,Summer,TGA,0,0,0,0,0.0,0.0,0
1988,Summer,ARU,0,0,0,0,0.0,0.0,0
1988,Summer,CHA,0,0,0,0,0.0,0.0,0
1988,Summer,BOT,0,0,0,0,0.0,0.0,0
1988,Summer,AND,0,0,0,0,0.0,0.0,0
1988,Summer,BUR,0,0,0,0,0.0,0.0,0
1988,Summer,COK,0,0,0,0,0.0,0.0,0
1988,Summer,LES,0,0,0,0,0.0,0.0,0
1988,Summer,MYA,0,0,0,0,0.0,0.0,0
1988,Summer,LAO,0,0,0,0,0.0,0.0,0
1988,Winter,URS,29,11,9,9,17.0,12.0,0
1988,Winter,GDR,25,9,10,6,11.0,14.0,0
1988,Winter,SUI,15,5,5,5,8.0,7.0,0
1988,Winter,AUT,10,3,5,2,8.0,2.0,0
1988,Winter,FRG,8,2,4,2,5.0,3.0,0
1988,Winter,NED,7,3,2,2,4.0,3.0,0
1988,Winter,FIN,7,4,1,2,4.0,3.0,0
1988,Winter,SWE,6,4,0,2,6.0,0.0,0
1988,Winter,USA,6,2,1,3,3.0,3.0,0
1988,Winter,NOR,5,0,3,2,4.0,1.0,0
1988,Winter,ITA,5,2,1,2,5.0,0.0,0
1988,Winter,CAN,5,0,2,3,2.0,3.0,1
1988,Winter,TCH,3,0,1,2,3.0,0.0,0
1988,Winter,YUG,3,0,2,1,2.0,1.0,0
1988,Winter,FRA,2,1,0,1,2.0,0.0,0
1988,Winter,JPN,1,0,0,1,1.0,0.0,0
1988,Winter,LIE,1,0,0,1,1.0,0.0,0
1988,Winter,ISV,0,0,0,0,0.0,0.0,0
1988,Winter,ESP,0,0,0,0,0.0,0.0,0
1988,Winter,POL,0,0,0,0,0.0,0.0,0
1988,Winter,MAR,0,0,0,0,0.0,0.0,0
1988,Winter,BUL,0,0,0,0,0.0,0.0,0
1988,Winter,MEX,0,0,0,0,0.0,0.0,0
1988,Winter,GRE,0,0,0,0,0.0,0.0,0
1988,Winter,ROU,0,0,0,0,0.0,0.0,0
1988,Winter,BOL,0,0,0,0,0.0,0.0,0
1988,Winter,PUR,0,0,0,0,0.0,0.0,0
1988,Winter,ARG,0,0,0,0,0.0,0.0,0
1988,Winter,CYP,0,0,0,0,0.0,0.0,0
1988,Winter,GBR,0,0,0,0,0.0,0.0,0
1988,Winter,KOR,0,0,0,0,0.0,0.0,0
1988,Winter,GUM,0,0,0,0,0.0,0.0,0
1988,Winter,POR,0,0,0,0,0.0,0.0,0
1988,Winter,MON,0,0,0,0,0.0,0.0,0
1988,Winter,AUS,0,0,0,0,0.0,0.0,0
1988,Winter,TUR,0,0,0,0,0.0,0.0,0
1988,Winter,GUA,0,0,0,0,0.0,0.0,0
1988,Winter,SMR,0,0,0,0,0.0,0.0,0
1988,Winter,AHO,0,0,0,0,0.0,0.0,0
1988,Winter,TPE,0,0,0,0,0.0,0.0,0
1988,Winter,NZL,0,0,0,0,0.0,0.0,0
1988,Winter,MGL,0,0,0,0,0.0,0.0,0
1988,Winter,IND,0,0,0,0,0.0,0.0,0
1988,Winter,DEN,0,0,0,0,0.0,0.0,0
1988,Winter,HUN,0,0,0,0,0.0,0.0,0
1988,Winter,AND,0,0,0,0,0.0,0.0,0
1988,Winter,LUX,0,0,0,0,0.0,0.0,0
1988,Winter,PRK,0,0,0,0,0.0,0.0,0
1988,Winter,JAM,0,0,0,0,0.0,0.0,0
1988,Winter,ISL,0,0,0,0,0.0,0.0,0
1988,Winter,CHN,0,0,0,0,0.0,0.0,0
1988,Winter,CRC,0,0,0,0,0.0,0.0,0
1988,Winter,CHI,0,0,0,0,0.0,0.0,0
1988,Winter,LIB,0,0,0,0,0.0,0.0,0
1988,Winter,PHI,0,0,0,0,0.0,0.0,0
1988,Winter,BEL,0,0,0,0,0.0,0.0,0
1988,Winter,FIJ,0,0,0,0,0.0,0.0,0
1992,Summer,EUN,112,45,38,29,75.0,37.0,0
1992,Summer,USA,108,37,34,37,63.0,45.0,0
1992,Summer,GER,82,33,21,28,50.0,32.0,0
1992,Summer,CHN,53,16,22,15,19.0,34.0,0
1992,Summer,CUB,31,14,6,11,23.0,8.0,0
1992,Summer,HUN,30,11,12,7,21.0,9.0,0
1992,Summer,FRA,29,8,5,16,22.0,7.0,0
1992,Summer,KOR,28,12,5,11,17.0,11.0,0
1992,Summer,AUS,27,7,9,11,17.0,10.0,0
1992,Summer,JPN,22,3,8,11,13.0,9.0,0
1992,Summer,ESP,22,13,7,2,14.0,8.0,1
1992,Summer,GBR,20,5,3,12,14.0,6.0,0
1992,Summer,ITA,19,6,5,8,16.0,3.0,0
1992,Summer,POL,19,3,6,10,17.0,2.0,0
1992,Summer,CAN,18,7,4,7,11.0,7.0,0
1992,Summer,ROU,18,4,6,8,7.0,11.0,0
1992,Summer,BUL,16,3,7,6,11.0,5.0,0
1992,Summer,NED,15,2,6,7,9.0,6.0,0
1992,Summer,SWE,12,1,7,4,10.0,2.0,0
1992,Summer,NZL,10,1,4,5,6.0,4.0,0
1992,Summer,PRK,9,4,0,5,7.0,2.0,0
1992,Summer,KEN,8,2,4,2,8.0,0.0,0
1992,Summer,NOR,7,2,4,1,5.0,2.0,0
1992,Summer,TCH,7,4,2,1,7.0,0.0,0
1992,Summer,DEN,6,1,1,4,6.0,0.0,0
1992,Summer,TUR,6,2,2,2,5.0,1.0,0
1992,Summer,FIN,5,1,2,2,5.0,0.0,0
1992,Summer,INA,5,2,2,1,4.0,1.0,0
1992,Summer,NGR,4,0,3,1,3.0,1.0,0
1992,Summer,JAM,4,0,3,1,1.0,3.0,0
1992,Summer,ETH,3,1,0,2,2.0,1.0,0
1992,Summer,MAR,3,1,1,1,3.0,0.0,0
1992,Summer,BRA,3,2,1,0,3.0,0.0,0
1992,Summer,IRI,3,0,1,2,3.0,0.0,0
1992,Summer,CRO,3,0,1,2,3.0,0.0,0
1992,Summer,IOA,3,0,1,2,1.0,2.0,0
1992,Summer,BEL,3,0,1,2,1.0,2.0,0
1992,Summer,LAT,3,0,2,1,3.0,0.0,0
1992,Summer,EST,2,1,0,1,1.0,1.0,0
1992,Summer,ALG,2,1,0,1,1.0,1.0,0
1992,Summer,RSA,2,0,2,0,1.0,1.0,0
1992,Summer,ISR,2,0,1,1,1.0,1.0,0
1992,Summer,AUT,2,0,2,0,2.0,0.0,0
1992,Summer,GRE,2,2,0,0,1.0,1.0,0
1992,Summer,MGL,2,0,0,2,1.0,1.0,0
1992,Summer,LTU,2,1,0,1,2.0,0.0,0
1992,Summer,IRL,2,1,1,0,2.0,0.0,0
1992,Summer,SLO,2,0,0,2,2.0,0.0,0
1992,Summer,NAM,2,0,2,0,2.0,0.0,0
1992,Summer,PAK,1,0,0,1,1.0,0.0,0
1992,Summer,QAT,1,0,0,1,1.0,0.0,0
1992,Summer,MAS,1,0,0,1,1.0,0.0,0
1992,Summer,PUR,1,0,0,1,1.0,0.0,0
1992,Summer,COL,1,0,0,1,0.0,1.0,0
1992,Summer,GHA,1,0,0,1,1.0,0.0,0
1992,Summer,MEX,1,0,1,0,1.0,0.0,0
1992,Summer,SUI,1,1,0,0,1.0,0.0,0
1992,Summer,ARG,1,0,0,1,1.0,0.0,0
1992,Summer,PHI,1,0,0,1,1.0,0.0,0
1992,Summer,PER,1,0,1,0,1.0,0.0,0
1992,Summer,SUR,1,0,0,1,1.0,0.0,0
1992,Summer,THA,1,0,0,1,1.0,0.0,0
1992,Summer,TPE,1,0,1,0,1.0,0.0,0
1992,Summer,BAH,1,0,0,1,1.0,0.0,0
1992,Summer,CHA,0,0,0,0,0.0,0.0,0
1992,Summer,CHI,0,0,0,0,0.0,0.0,0
1992,Summer,EGY,0,0,0,0,0.0,0.0,0
1992,Summer,DJI,0,0,0,0,0.0,0.0,0
1992,Summer,IRQ,0,0,0,0,0.0,0.0,0
1992,Summer,KUW,0,0,0,0,0.0,0.0,0
1992,Summer,SGP,0,0,0,0,0.0,0.0,0
1992,Summer,CIV,0,0,0,0,0.0,0.0,0
1992,Summer,IND,0,0,0,0,0.0,0.0,0
1992,Summer,POR,0,0,0,0,0.0,0.0,0
1992,Summer,SEY,0,0,0,0,0.0,0.0,0
1992,Summer,BEN,0,0,0,0,0.0,0.0,0
1992,Summer,PAN,0,0,0,0,0.0,0.0,0
1992,Summer,NCA,0,0,0,0,0.0,0.0,0
1992,Summer,TOG,0,0,0,0,0.0,0.0,0
1992,Summer,LBA,0,0,0,0,0.0,0.0,0
1992,Summer,MTN,0,0,0,0,0.0,0.0,0
1992,Summer,UAE,0,0,0,0,0.0,0.0,0
1992,Summer,BRN,0,0,0,0,0.0,0.0,0
1992,Summer,OMA,0,0,0,0,0.0,0.0,0
1992,Summer,SYR,0,0,0,0,0.0,0.0,0
1992,Summer,KSA,0,0,0,0,0.0,0.0,0
1992,Summer,YEM,0,0,0,0,0.0,0.0,0
1992,Summer,JOR,0,0,0,0,0.0,0.0,0
1992,Summer,ISV,0,0,0,0,0.0,0.0,0
1992,Summer,SAM,0,0,0,0,0.0,0.0,0
1992,Summer,BAR,0,0,0,0,0.0,0.0,0
1992,Summer,GUM,0,0,0,0,0.0,0.0,0
1992,Summer,PAR,0,0,0,0,0.0,0.0,0
1992,Summer,CRC,0,0,0,0,0.0,0.0,0
1992,Summer,CAF,0,0,0,0,0.0,0.0,0
1992,Summer,SLE,0,0,0,0,0.0,0.0,0
1992,Summer,BAN,0,0,0,0,0.0,0.0,0
1992,Summer,SRI,0,0,0,0,0.0,0.0,0
1992,Summer,SMR,0,0,0,0,0.0,0.0,0
1992,Summer,MDV,0,0,0,0,0.0,0.0,0
1992,Summer,COD,0,0,0,0,0.0,0.0,0
1992,Summer,ISL,0,0,0,0,0.0,0.0,0
1992,Summer,GEQ,0,0,0,0,0.0,0.0,0
1992,Summer,BOL,0,0,0,0,0.0,0.0,0
1992,Summer,ANT,0,0,0,0,0.0,0.0,0
1992,Summer,DOM,0,0,0,0,0.0,0.0,0
1992,Summer,LIB,0,0,0,0,0.0,0.0,0
1992,Summer,SOL,0,0,0,0,0.0,0.0,0
1992,Summer,SEN,0,0,0,0,0.0,0.0,0
1992,Summer,HKG,0,0,0,0,0.0,0.0,0
1992,Summer,GUA,0,0,0,0,0.0,0.0,0
1992,Summer,CYP,0,0,0,0,0.0,0.0,0
1992,Summer,PNG,0,0,0,0,0.0,0.0,0
1992,Summer,GUI,0,0,0,0,0.0,0.0,0
1992,Summer,CAY,0,0,0,0,0.0,0.0,0
1992,Summer,HON,0,0,0,0,0.0,0.0,0
1992,Summer,TUN,0,0,0,0,0.0,0.0,0
1992,Summer,AND,0,0,0,0,0.0,0.0,0
1992,Summer,CGO,0,0,0,0,0.0,0.0,0
1992,Summer,ALB,0,0,0,0,0.0,0.0,0
1992,Summer,LIE,0,0,0,0,0.0,0.0,0
1992,Summer,FIJ,0,0,0,0,0.0,0.0,0
1992,Summer,TTO,0,0,0,0,0.0,0.0,0
1992,Summer,GAB,0,0,0,0,0.0,0.0,0
1992,Summer,BER,0,0,0,0,0.0,0.0,0
1992,Summer,ASA,0,0,0,0,0.0,0.0,0
1992,Summer,BIH,0,0,0,0,0.0,0.0,0
1992,Summer,TAN,0,0,0,0,0.0,0.0,0
1992,Summer,ZAM,0,0,0,0,0.0,0.0,0
