GDP pc 2011 prices,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1919,,,,,5271,,7517,3601,,,5402,,,,,,,,1956,1154,,,,6406,6747.26797745246,3853,,,,,,1629,,,,,2378,,,4122,,,6153,,,1647,,3020.83666798753,,,2643,4481,,7605,,,,,,,2031,,,,,,,1468,1100,,,,2889.74151897165,,3701,,,3219.30540102,,,,,1363.15211392193,,,,1401.09040590406,,,1859,,,,,,,,2399,,,,,,,,,,437.962962962963,1877.17877094972,,,631.075697211155,,6570,4605,,8421,,,2534,1961,1932,,,1102.64694471882,1870,,,,1014.89811153248,663.768601106591,,,,,2244,,,,,913,,,4503,,,,,,,,,,,,1533,,,,4595,10449.7802701896,,1962,,,,,,732.981455064194
1920,,,,,5536,,7597,3845,,,6315,,,,1594,,,,1932,1242,,,,6154,7363.9596412385,4248,,,,,,1707,,,2589,3081,2378,,,4457,,,6363,,,1680,,3239.31849128423,,,2942,5144,,7017,,1298.77005347594,,,,,2284,2028,,1957,,,2724,1409,1012,,,,2450.50549582191,,3789,,,2973.96228429,,,,,1428.81642393374,,,,1424.34501845018,,,1741,,,,,,,,2552,,,,,,,,,,430,1786.42458100559,,,988.04780876494,2007,6727,4739,,8992,,,2445,1954,2055,3000,,1469.82078286337,1959,,,,1063.69367797063,636.906155679871,,,,,1932,,1487,,,917,,,4788,,,,,,,,,,,,1513,,,,3580,10152.927108763,,1903,,,1513,,,643.748930099858
1921,,,,,5533,,7828,4224,,,6465,,,,1594,,,,1849,1242,,,,5351,5999.14144316014,3727,,,,,,1769,,,2475,3323,2302,,,4906,,,6099,,,1696,,3317.8541561865,,,3003,4901,,6792,,1434.22459893048,,,,,3057,2203,,1924,,,,1395,1082,4038,,,2683.53150483007,,3660,,,3244.35210021,,,,,1473.87914036513,,,,1372.0221402214,,,1688,,,,,,,,2542,,,,1133,,,,,,426.814814814815,2172.3687150838,,,881.274900398406,2083,7063,4222,,8174,,,2370,2004,1969,,,1440.44329272521,2056,,,,1152.90669612301,566.738992310145,,,,,2182,,1466,,,838,,,4543,,,,,,,,,,,,1561,,,,3532,9674.88048757292,,1846,,,1529,,,638.968616262482
1922,,,,,5796,,8072,4586,,,7034,,,,,,,,2002,1301,,,,6046,7181.95352888635,3814,,,,,,1851,,,2695,3198,2275,,,5310,,,6641,,,1714,,3423.21951907808,,,3280,5754,,7391,,1504.34224598931,,,,,3129,2058,,2012,,,,1417,1117,4141,,,3011.73200507003,,3928,,,3243.83007618,,,,,1492.98111473602,,,,1421.43819188192,,,1731,,,,,,,,2562,,,,,,,,,,431.592592592593,2404.50837988827,,,860.557768924303,1878,7331,4570,,7716,,,2401,2144,2163,,,1433.48686075922,2279,,,,1283.29495342263,678.9262004268,,,,,2884,,1516,,,974,,,4868,,,,,,,,,,,,1728,,,,3870,10009.7152770361,,2000,,,1551,,,697.925820256776
1923,,,,,6213,,8276,4530,,,7226,,,,,,,,2008,1347,,,,6338,7670.23768949731,4514,,,,,,1930,,,2434,3429,2249,,,4383,,,7267,,,1731,,3428.84608780897,,,3486,5984,,7587,,1658.91978609626,,,,,3169,2240,,1924,,,,1428,1070,4105,,,2851.39925643667,,4248,,,3243.54978144,,,,,1505.50227622661,,,,1456.32011070111,,,1699,,,,,,,,2608,,,,,,,,,,457.074074074074,2052,,,726.693227091633,2010,7388,4870,,8199,,,2421,2255,1992,,,1453.13020548845,2348,,,,1386.23305129076,775.436779836442,,,,,2952,,1554,,,1122,,,5023,,,,,,,,,,,999,1760,,,,4112,11071.2429779556,,2096,,,1608,,607.524962178517,748.915834522112
1924,,,,,6464,,8635,5042,,,7393,,,,1635,,,,2077,1320,,,,6339,8195.52064929545,4779,,,,,,2000,,,2724,3751,2327,,,5099,,,7218,,,1749,,3513.82669621258,,,3545,6661,,7844,,1708.32085561497,,,,,3279,2397,,1753,,,3048,1486,1111,4095,,,3028.72584108975,,4324,,,3316.35719319,,,,,1422.14929874806,,,,1511.54981549815,,,1798,,,,,,,,2523,,,,,,,,,,495.296296296296,2044.35754189944,,,855.776892430279,2098,7803,4787,,8198,,,2491,2429,2133,,,1402.92713690053,2233,,,,1386.23305129076,901.164803172307,,,,,2888,,1623,,,1420,,,5365,,,,,,,,,,,1084,1889,,,,4258,11126.7129834632,,2173,,,1699,2037,594.768532526475,710.67332382311
1925,,,,,6247,,8851,5367,,,7438,,,,1949,,,,2144,1298,,,,6918,8385.2867756263,4903,,,,,,2000,,,2654,4154,2560,,,5630,,,6978,,,1765,,3720.18591832496,,,3711,6641,,8199,,1708.32085561497,,,,,3411,2327,,2042,,,3633,1497,1113,4101,,,3037.05154490333,,4580,1078,,3414.35396529,,,,,1469.8881628887,,,,1598.75461254613,,,1892,,,,,,,,2640,,,,,,,,,,519.185185185185,1732.92737430168,,,879.681274900398,2316,8019,4733,,8435,,,2514,2455,2109,,,1422.49482387392,2305,,,,1395.38310443459,1061.95010881564,,,,,3255,,1476,,,1776,,,5488,,,,,,,,,,,1199,1959,,,,4208,11149.7720266213,,2289,,,1758,2171,596.36308623298,705.893009985735
1926,,,,,6366,,8883,5440,,,7626,,,,1978,,,,2157,1299,,,,7168,8656.33106890515,4702,,,,,,2136,,,2872,4105,2431,,,5746,,,7329,,,1784,,3645.58545934928,,,3813,6773,,7868,,1729.03743315508,,,,,3475,2327,,1991,,,3446,1565,1137,4100,,,3258.56183991858,,4576,,,3358.53933669,,1002.92165898617,,,1529.54379534206,,,,1566.7795202952,,,2018,,,,,,,,2756,,,,1298,,,,,,471.407407407407,2179.05586592179,,,1005.57768924303,1983,8541,4750,,7818,,,2515,2662,2174,,,1460.89789759928,2262,,,,1528.05887502018,1207.42312896051,,,,,2686,,1706,,,1994,,,5756,,,,,,,,,,,1382,1954,,1053.55895196507,,4548,11647.7677781461,,2423,,,1854,2228,601.146747352496,768.037089871612
1927,,,,,6625,,8837,5587,,,7847,,,,1884,,,,2289,1366,,,,7726,9259.93620280581,4544,,,,,,2270,,,2608,4387,2405,,,6282,,,7425,,,1836,,3954.17761020256,,,4076,6621,,8472,,1724.25668449198,,,,,3539,2453,,2161,,,3566,1645,1125,4229,,,3575.76738667168,,4454,,,3346.89218283,,1154.39631336405,,,1611.71969844718,,,,1555.15221402214,,,2010,,,,,,,,2590,,,,,,,,,,504.851851851852,2049.13407821229,,,878.08764940239,1992,8773,4992,,7465,,,2528,2668,2177,,,1593.89826707408,2627,,,,1523.48384844826,1242.77656453166,,,,,1986,,1478,,,2077,,,5942,,,,,,,,,,,1248,1919,,991.397379912664,,5080,11532.3978990644,,2461,,,1798,2271,620.28139183056,839.74179743224
1928,,,,,6840,,8690,5829,,,8191,,,,1934,,,,2356,1492,,,,8244,9658.81387249873,5609,,,,,,2375,,,2686,4745,2275,,,6519,,,7627,,,1892,,3901.83504741956,,,4315,7063,,8539,,1572.86631016043,,,,,3561,2482,,2377,,,3849,1685,1125,4363,,,3706.46207301772,,4693,,,3554.11569192,,1068.29493087558,,,1492.93697243396,,,,1517.36346863469,,,2004,,,,,,,,2565,,,,,,,,,,504.851851851852,2537.29608938547,,,956.175298804781,2523,9118,5241,,8195,,,2558,2796,2219,,,1561.02176377286,2343,,,,1477.73358272909,1281.74117054024,,,,,2361,,1682,,,2184,,,6113,,,,,,,,,,,1361,1934,,957.92576419214,,5176,11451.0689602393,,2866,,,1929,2444,623.47049924357,873.203994293866
1929,,,1476,,6961,,8389,5896,,,8056,,,,1956,,,,2426,1465,,,,8074,9920.03754250447,5679,1003,,,,,2399,,,2522,4849,2507,,,6457,,,8089,,,1948,,4168.51999539167,,,4331,7508,,8772,,1834.21390374332,,,,,3733,2742,,2303,,,3947,1702,1160,4501,,,3918.66644579811,,4889,1116,,3665.08668594,,907.253456221198,,,1495.86427487404,,,,1514.45664206642,,,2130,,,,,,,,2424,,,,,,,,,,504.851851851852,3220.34078212291,,,962.549800796813,2778,9068,5581,,8388,,,2605,3041,2252,3374,,1596.18813913168,2566,,,,1557.79654773764,1300.60273234698,,,,,3323,,1661,,,2209,,,6476,,,,,,1264,,,,,1554,1991,,932.423580786026,,5128,11954.2353457503,,2942,,,2002,2386,617.092284417549,844.522111269615
1930,,,,,6503,,7504,5716,,,7936,,,,2031,,,,2281,1350,,,,7669,9969.3240645101,4876,1012,,,,,2350,,,2592,4664,2378,,,6333,,,8513,,,1969,,3918.26329715224,,,4250,7224,,8673,,1743.37967914439,,,,,3599,2831,,2402,,,3832,1704,1157,4618,,,4337.20727638214,,4631,,,3334.10818374,,1122.5069124424,,,1637.20979738464,,,,1383.64944649446,,,2016,,,,,,,,2233,,,,,,,,,,512.814814814815,3147.7374301676,,,906.772908366534,2246,8931,5781,,7906,,,2467,2651,2203,3178,,1725.59684609893,2504,,,,1534.92141487805,1345.49109867049,,,,,3049,,1667,,,2308,,,6755,,,,,,,,,,,1600,2021,,852.729257641922,,5950,10694.9820752827,,2923,,,1935,2252,621.875945537065,822.213980028531
1931,,,,,5917,,6940,5241,,,7747,,,,2048,,,,2040,1294,,,,6382,10055.4851996385,3904,1015,,,,,2308,,,2511,4477,1758,,,5821,,,8542,,,1929,,3781.93855826096,,,4114,6751,,8190,,1904.33155080214,,,,,3402,2582,,2402,,,3615,1568,1133,4737,,,4251.34127237517,,4538,,,3320.81067189,,1077.86175115207,,,1620.77742636312,,,,1357.48800738007,,,1918,,,,,,,,2268,,,,1438,,,,,,629.074074074074,3072.26815642458,,,900.398406374502,2071,8265,5297,,7133,,,2383,2397,2168,2906,,1831.31393307957,2600,,,,1560.0840610236,1411.76307851155,,,,,2246,,1474,,,2330,,,6582,,,,,,,,,,,1669,1997,,860.698689956332,,4838,9930.96339397551,,2904,,,1851,2128,618.686838124055,852.489300998574
1932,,,,,5614,,7275,4686,,,7343,,,,1943,,,,1879,1312,,,,5852,9752.44296534974,2950,1039,,,,,2409,,,2265,4272,1629,,,5359,,,8239,,,1890,,3851.0339446991,,,4065,6311,,8206,,1752.94117647059,,,,,3649,2200,,2109,,,3494,1481,1130,4599,,,4068.99824970602,,4602,,,3529.28786259,,1058.72811059908,,,1620.94456310234,,,,1360.39483394834,,,1819,,,,,,,,1890,,,,,,,,,,629.074074074074,2792.36312849162,,,,1863,8026,5526,,6897,,,2362,2268,2212,2643,,1837.19395628138,2619,,,,1413.68321072226,1459.3623103734,,,,,1954,,1313,,,2294,,,6325,,,,,,,,,,,1543,2066,,852.729257641921,,4450,8380.50437668054,,2635,,,1655,2047,735.089258698941,819.027104136947
1933,,,,,5772,,7718,4516,,,7461,,,,2077,,,,1954,1387,,,,5372,10009.108560589,3618,923,590.72,,,,2514,,,2646,4068,1551,,,5668,,,8434,,,1890,,3685.75603107227,,,4307,6757,,8411,,1713.10160427808,,,,,3818,2165,,1940,,,3784,1470,1116,4463,,,4475.00059236175,,4514,1154,,3786.8017329,,1152.80184331797,,,1655.02532507323,,,,1348.76752767528,,,1833,,,,,,,,2071,,,,,,,,,,683.222222222222,2790.45251396648,,,892.430278884462,2311,7900,5633,,7294,,,2365,2483,2181,2534,,1895.45328192576,2761,,,,1422.83326386609,1529.90115882887,,,,,2766,,1471,,,2380,,,6429,,,,,,,,,,,1718,1957,,895.764192139738,,4112,8048.22451582433,,2923,,,1683,2268,808.438729198185,828.587731811698
1934,,,,,6129,,8066,4546,,,7371,,,,1876,,,,2099,1471,,,,5883,9997.37644988818,4269,937,,,,,2432,,,2291,3894,1680,,,6150,,,8611,,,1890,,3777.83847367826,,,4763,6682,,8939,,1725.85026737968,,,,,3854,2410,,1860,,,3778,1465,1111,4594,,,4500.28437330674,,4466,,,3755.68783221,,1012.48847926267,,,1673.30316238728,,,,1337.14022140221,,,2008,,,,,,,,2176,,,,,,,,,,649.777777777778,2805.7374301676,,,908.366533864542,2067,7659,5799,,7600,,,2391,2774,2149,2539,,1793.02814065952,2844,,,,1436.55834358184,1696.57909982059,,,,,3263,,1498,,,2598,,,6845,,,,,,,,,,,1731,2012,,801.724890829694,,4693,8667.09184871957,,3038,,,1722,2514,857.869894099849,854.082738944365
1935,,,,,6296,,8477,4634,,,7801,,,,1992,,,,2173,1482,,,,6298,9478.80775609377,4511,1007,,,,,2673,,,2434,3841,1809,,,6567,,,8735,,,1890,,3802.31636790305,,,4930,6513,,9244,,1776.8449197861,,,,,3953,2729,,1744,,,3939,1478,1084,4728,,,4331.85098265714,,4670,,,3825.30299619,,1049.16129032258,,,1759.5970076149,,,,1369.11531365314,,,1887,,,,,,,,2299,,,,,,,,,,649.777777777778,2688.23463687151,,,935.458167330677,2043,7857,6057,,7905,,,2571,2986,1956,2546,,1996.16491123244,2660,,,,1541.78395473593,1897.64366928877,,,,,3676,,1629,,,2971,,,7160,,,,,,,,,,,1739,2169,,914.890829694323,,4790,9680.83864274588,,3615,,,1672,2785,835.546142208775,871.610556348074
1936,,,,,6236,,8792,4774,,,7831,,,,2209,,,,2230,1591,,,,6574,9301.84625825247,4584,1065,,,,,2780,,,2550,4143,1913,,,7095,,,8886,,,1908,,2872.11937001217,,,5227,6765,,9620,,2033.41176470588,,,,,3913,3674,,1741,,,4173,1543,1111,4865,,,4312.97492634776,,4471,,,3985.54558119,,1230.93087557604,,,1692.88664269553,,,,1465.0405904059,,,1873,,,,,,,,2444,,,,1336,,,,,,684.814814814815,2906.04469273743,,,1074.10358565737,1583,8273,6432,,9309,,,2507,3078,2174,2590,,2121.92475626296,2428,,,,1585.24670716914,2040.58046045679,,,,,3652,,1572,,,3174,,,7396,,,,,,,,,,,2034,2246,,969.082969432314,,4790,10568.012351748,,3904,,,1863,3048,848.302571860817,909.853067047076
1937,,,,,6575,,9159,5031,,,7908,,,,2410,,,,2381,1610,,,,7130,10039.2922320319,5083,1034,,,,,2791,,,2872,4594,2042,,,7468,,,9035,,,1927,,2650.11698887646,,,5485,7152,,9911,,1770.47058823529,,,,,4414,3516,,1632,,,4053,1694,1078,4713,,,4479.19030152772,,4879,,,4074.92227323,,1042.78341013825,,,2005.74912487929,,,,1572.59317343173,,,1988,,,,,,,,2482,,,,,,,,,,694.37037037037,3162.06703910615,,,1118.72509960159,1672,8660,6684,,9726,,,2707,3070,2276,3052,,2469.67781941679,2801,,,,1640.14702603214,2297.59291026661,,,,,3967,,1699,,,3437,,,7579,,,,,,,,,,,2066,2212,,994.585152838428,,4935,11295.0989480103,,3885,,,1868,3249,928.030257186082,924.194008559201
1938,,,,,6491,,9382,5673,,,7702,,,,2389,,,,2431,1643,,,,7246,9608.57001962028,5070,1003,,,,,2938,,,2990,,2069,,,7960,,,9185,,,1948,,2632.55115570167,,,5721,7119,,9988,,1819.87165775401,,,,,4267,3545,,1698,,,4232,1655,1065,4865,,,4483.76736776011,,4981,1549,,4256.84109609,,1127.29032258065,,,1935.09637809884,,,,1549.33856088561,,,1953,,,,,,,,2479,,,,1180,,,,,,691.185185185185,2515.32402234637,,,1077.29083665339,1707,8368,6794,,10300,,,2625,3068,2295,3478,,2557.07319722189,2785,,,,1603.5468134568,2291.09826865526,,,,,3363,,1559,,,3427,,,7812,,,,,,1317,,,,,2209,2295,,1036.02620087336,,5273,10526.1335711717,,4289,,,1991,3118,951.948562783661,946.502139800285
1939,,,,,6612,,9318,6529,,,8209,,,,2672,,,,2488,1627,,,,7600,9836.15191455033,5106,,,,,,3037,,,2976,,2042,,,8617,,,9553,,,1967,,2881.37776998371,,,5432,7640,,9982,,1842.18181818182,,,,,4205,3916,,1714,,,4524,1639,1074,4865,,,4980.04050858939,,5246,,,4803.78281109,,,,,1610.73119637171,,,,1636.54335793358,,,1890,,,,,,,,2570,,,,,,,,,,683.222222222222,2565,,,1011.95219123506,2042,8837,7079,,10297,,,2683,3037,2404,,,2494.33784671389,2788,2858,,,1626.42194631639,2368.6242203803,,,,,3912,,1651,,,3566,,,8370,,,,,,,,,,,2324,2200,,,,5322,11171.4481057369,,4538,,,2072,3272,931.219364599092,965.623395149786
1940,,,,,6633,,9828,6311,,,7272,,,,2683,,,,2667,1610,,,,8557,9802.37306877984,5177,,,,,,3021,,,2810,,2069,,,8612,,,8155,,,2050,,3166.96562665576,,,5133,6443,,10928,,,,,,,3543,4371,,1782,,,4186,1766,1093,4865,,,5235.01919210347,,5099,,,4882.39852782,,,,,1975.23613458624,,,,1680.14575645756,,,1994,,,,,,,,2560,,,,,,,,,,686.407407407408,2037,,,878.08764940239,2179,7701,6437,,10042,,,2651,3046,2402,,,2623.73050377988,2574,2644,,,1582.95919388318,2529.38450384786,,,,,,,1773,,,3417,,,7739,,,,,,,,,,,2146,1992,,,,4983,12005.0951632151,,4769,,,,3419,1017.32526475038,
1941,,,,,6861,,10820,6722,,,6947,,,,2386,,,,2823,1683,,,,9645,9217.34890451972,5091,,,,,,2992,,,3097,,2198,,,9103,,,7291,,,2016,,3187.30418006886,,,5295,5274,,11926,,,,,,,2987,4503,,1747,,,4186,1808,1101,4865,,,5916.15267844555,,4967,,,4986.24,,1128.88479262673,,,2107.24748381484,,,,1840.02121771218,,,2036,,,,,,,,2738,,,,,,,,,,684.814814814815,1973,,,,2354,7222,6554,,9770,,,2911,2997,,,,2621.04329660168,2785,2627,,,1626.42194631639,2358.29849225146,,,,,,,1714,,,,,,7511,,,,,,,,,,,1932,,,1126.87772925764,,5225,13553.4016612363,,4635,,,,3510,918.46293494705,
1942,,,,,6829,,11963,6349,,,6371,,,,2299,,,,2860,1584,,,,11210,8739.76696861602,5161,,,,,,2920,,,2691,,2198,,,9149,,,7379,,,2056,,3389.08084428193,,,5303,4752,,12176,,1603.14438502674,,,,,2517,4463,,1557,,,4372,,1082,4865,,,6832.13966294705,,4661,1546,,4938.54,,1112.9400921659,,,1645.72199188762,,,,1985.36254612546,,,2109,,,,,,,,2817,,,,,,,,,,,2667,,,988.04780876494,2214,6546,6261,,10779,,,2896,2880,,,,2399.6421784848,2723,2716,,,1505.18374216059,2553.84200040047,,,,,,,1828,,,,,,7557,,,,,,,,,,,1994,,,1059.93449781659,,4838,14869.8611529471,,4001,,,,3548,924.841149773071,
1943,,,,,6666,,12278,6480,,,6228,,,,2346,,,,2922,1763,,,,11577,8642.97285805962,5209,,,,,,2856,,,2644,,2069,,,9389,,,8097,,,2259,,3546.60063779847,,,5893,4559,,12344,,1642.98395721925,,,,,2115,2925,,1548,,,,,1113,4865,,,7198.4536525085,,3931,1833,,4825.65,,942.331797235023,,,1685.93874842345,,,,2162.67896678967,,,2047,,,,,,,,2844,,,,,,,,,,,,,,838.247011952191,2373,6346,6089,,11043,,,2995,2876,,,,2462.00463656339,2879,2710,,,1706.48491132493,2447.80413874841,,,,,,,1970,,,,,,7779,,,,,,,,,,,1792,,,991.397379912664,,4693,16050.2174162196,,4423,,,,3558,956.732223903177,
1944,,,,,7299,,11735,6618,,,6554,,,,2087,,,,2888,1785,,,,11864,8890.73881147861,5209,,,,,,2970,,,2326,,2275,,,9698,,,8835,,,2230,,3670.84428690895,,,5874,3861,,11803,,1611.11229946524,,,,,1779,2775,,1545,,,,,1089,4865,,,7775.63588153649,,3162,,,4816.11,,1119.31797235023,,,,,,,2284.76568265683,,,1839,,,,,,,,2998,,,,,,,,,,,,,,,2299,4222,5719,,10947,,,3156,3070,,,,,3017,2705,,,1290.15749328051,2391.63492966983,,,,,,,1836,,,,,,7987,,,,,,,,,,,1696,,,919.67248908297,,5322,16999.3271675819,,4769,,,,3610,945.57034795764,855.676176890157
1945,,,,,6943,,11026,2750,,,6907,,,,1710,,,,2966,1792,,,,11370,8839.31526323939,5553,,,,,,3027,,,2573,,2275,,,7195,,,8075,,,2182,,3352.92919966452,,,5499,4101,,11247,,1628.64171122995,,,,,1495,2761,,1873,,1780,,,1058,4812,,,8282.07985480944,,2831,,,3677.67,,1061.91705069124,,,,,,,2354.5295202952,,,1779,,,,,,,,3009,,,,,,,,,,,,,,,2259,4281,6344,,11043,,,3371,3131,,,,,2876,2550,,,876.117588522048,2313.44447564068,,,,,,,1741,,,,,,8201,,,,,,,,,,,1452,,,911.703056768559,,5418,16477.5517664725,,5808,,,,3631,864.24810892587,854.082738944365
1946,,,,,7436,,10512,3118,,,7291,,,,,,,,2891,1934,,,,11048,10866.098130433,5918,,,,,,3215,,,2804,,2405,,,3534,,,9208,,,2381,,3468.20320839177,,,5871,6145,,10751,,,,,,,2209,3191,,1969,,1776,2743,,991,4865,,,8490.28856624319,,3805,2628,,2771.37,,,,,915.765104808997,,,,2342.90221402214,,,1674,,,,,,,,3124,,,,,,,,,,,,,,,2377,7104,6910,,11415,,,2899,3196,1030,,,,3073,2738,,,853.242455662465,2435.85819340214,,,,,,,1747,,,3049,,,9000,,,,,,,,,,,1831,,,,,5903,14822.4664745637,,6655,,,,3684,865.842662632375,877.984308131241
1947,,,,,8112,,10622,3453,,,7651,,,,,,,,2797,1956,,,,11298,11020.9505631674,5187,,,,,,3255,,,3245,,2560,,,3883,,,9620,,,2571,,3509.07850953639,,,5925,6596,,10527,,,,,,,2810,3148,,2048,,1785,2828,,985,4929,,,9230.58620689655,,4498,2410,,2710.95,,,,,937.262686713904,,,,2267.32472324723,,,1710,,,,,,,,3145,,,,,,,,,,,1704,,,,2310,8046,7753,,12506,,,2960,3231,1395,,,,3301,2326,,,1086.56881083022,2705.82198740551,,,,,,,2173,,,3389,,,9709,,,,,,,,,,,1890,,,,,5757,14311.547192312,,6500,,,1930,3647,899.328290468986,943.315263908702
1948,,,,,8372,,11105,4406,,,8008,,,,2200,,,,2987,2096,,,,11261,11189.3430725298,5939,,,,,,3268,,,3339,4922,2507,,,4517,,,9776,,,2844,,3473.9224482393,,,6307,7002,,10753,,1845.36898395722,,,,,2866,3169,,2045,,1784,3507,,983,5149,,,9215.16333938294,,4814,,,2857.23,,,,,1098.87154619638,,,,2360.34317343173,,,1847,,,,,,,,3188,,,,,,,,,,514.407407407408,1889,,,,2460,8751,8199,,11045,,,2724,3282,1583,3439.49113062175,,,3261,2300,,,2976.05478503181,2940.4406151493,,,,,,,2723,,,3829,,,9822,,,,,,,,,,,2098,,,,,5853,14734.232124,,7712,,,2273,3848,943.975794251135,1035.73466476462
1949,,,,,8045,,11536,5249,,,8278,,,,2400,,,,3083,2204,,,,11260,10943.5440327929,5710,,,,,,3359,,,3384,5195,2482,,,5231,,,10351,,,2815,,3430.70421520905,,,6604,7884,,11088,,1827.83957219251,,,,,2979,3365,,2013,,1782,3752,1159,995,5426,,,8868.14882032668,,5188,,,2866.77,,,,,1188.98073473397,,,,2348.71586715867,,,1911,,,,,,,,3276,,,,,,,,,,560.592592592593,2440,,,,2345,9373,8332,,11988,,,2732,3470,1634,3630.26339365705,,,3279,2625,,,2430.48286633075,3106.35037782687,,,,,,,2432,,,4181,,,10127,,,,,,,,,,,1946,,,1059.93449781659,,6531,14196.672,,7828,,,2463,3819,1001.37972768533,1054.85592011412
1950,1156,1677,1596,25182,7949,,11815,5907,,595,8706,1627,756,861,2632,3354,,,3011,2236,3390,489,1307,11622,11541.0375505428,5880,799,1659,1070,909,1693,3432,534,1006,3129,5581,2638,2885,,6186,3459,980,11067,1637,2176,2970,1450.97237569061,3459.4402519108,,622,6779,8266,2958,11061,,1788,520,982,462,797,3052,3323,4082,2018,,1790,3953,1280,987,5504,2742,2174,8498,4490,5582,2115,2651,3062,,1038,,768,998.088764411796,46031,697,3872,3151,620,1231,1997,631,,13378,,2319,,1516,3510,,728,1573,631,,677,1806,679,3942,516,2485,4009,983,1200,2565,9558,8655,802,13479,993,1025,2577,3679,1706,3900,3416,,3325,2391,1549,48436,1883.97680596141,3310.83462335241,1020,3556,1309,2007,3572,902,2375,,1278,4529,,,10742,604,2632,3838,815,870,1302,,,5856,1777,2079,1460,676,1095,,7015,15240,,8462,1049,1452,2276,4041,1054,1117
1951,1170,1715,1666,26634,8086,,11966,6311,,618,9161,1597,776,862,3170,3483,,,3209,2279,3513,497,1339,12007,11877.89329403,6001,950,1686,1095,995,1726,3427,553,1019,3110,5617,2664,2782,,6704,3566,1066,11056,1780,2147,2925,1443,3785.95933916314,,630,7286,8705,3049,11354,,1808,542,1015,489,827,3287,3263,3688,2066,,1788,4296,1356,993,5649,2668,2303,8080,5035,5958,2251,2702,3389,,1229,,775,990.770029025074,47464,706,5150,3257,668,1254,2061,657,,12337,,2324,,1549,3673,,740,1642,711,,697,1841,698,4022,529,2295,4038,1004,1262,2657,9615,9038,816,12199,1036,969,2491,3867,1835,4001,3515,,3456,2373,1608,48653,2001.54279689916,3456.26047173511,1058,3784,1334,2042,3368,942,2361,,1274,4473,,,11077,623,2778,3609,834,885,1353,,,6207,1763,2299,1513,743,1023,,7548,16125,,9039,1078,1463,2335,4130,1097,1151
1952,1189,1755,1667,27490,7519,,11824,6323,,626,9035,1565,797,874,3017,3614,1894,,3237,2377,3655,504,1369,12486,12016.308232061,6252,1047,1714,1122,1065,1758,3529,559,1031,3370,5735,2844,3017,,7257,3585,1121,11086,1868,2193,3202,1435,4099.39922657874,,636,7450,8869,3143,11303,,1728,550,1022,516,845,3272,3226,3846,2083,2738,1860,4403,1401,1003,5805,2597,2482,8823,4828,6371,2397,2751,3724,,1063,,803,1038.04102619505,47856,714,5327,3277,697,1288,2093,666,,13162,,2327,,1581,3706,2150,752,1701,716,1784,719,1878,717,4002,540,2345,4066,1023,1323,3016,9698,9267,835,12427,1079,950,2557,3964,1890,4018,3730,,3445,2273,1669,47990,2124.85637527654,3686.91716216295,1071,3937,1363,2077,2342,958,2472,2032,1272,4682,,3934,11152,628,2821,4441,851,899,1385,,,6282,1945,2522,1639,740,1058,,7353,16444,,9309,1106,1473,2125,4175,1140,1154
